filename,number_lists,number_obs
aus-vic-fitzroy_treasury_gardens.RDS,56,1103
aus-vic-fritsch_holzer_park.RDS,1,15
aus-vic-green_highbury_road.RDS,6,136
aus-vic-greythorn_park.RDS,0,0
aus-vic-hanmer_reserve_yarraville_gardens.RDS,1,32
aus-vic-hayes_park.RDS,0,0
aus-vic-keeley_park.RDS,7,209
aus-vic-kew_cemetery_victoria_garden.RDS,0,1
aus-vic-malahang_reserve.RDS,0,1
aus-vic-methven_park.RDS,0,16
aus-vic-morton_park.RDS,0,6
aus-vic-newport_lakes_park.RDS,50,10989
aus-vic-northern_golf_club.RDS,4,172
aus-vic-st_kilda_botanic_gardens.RDS,69,1776
aus-vic-victoria_gardens.RDS,2,18
aus-vic-wattle_park.RDS,9,550
aus-wa-as_luketina_reserve.RDS,0,0
aus-wa-barry_britton_reserve.RDS,0,0
aus-wa-bayswater_golf_course.RDS,0,0
aus-wa-baywater_golf_course.RDS,0,0
aus-wa-beale_park.RDS,0,0
aus-wa-beatty_park.RDS,0,0
aus-wa-brittania_reserve.RDS,0,0
aus-wa-bruce_lee_oval.RDS,0,0
aus-wa-butlers_reserve.RDS,0,0
aus-wa-charles_veryard_reserve.RDS,0,0
aus-wa-chesson_park.RDS,0,0
aus-wa-cliff_sadlier_reserve.RDS,0,0
aus-wa-clontarf_hill.RDS,0,0
aus-wa-college_park.RDS,2,9
aus-wa-collier_park_golf_course.RDS,1,4
aus-wa-dianella_open_space.RDS,8,117
aus-wa-dorrien_gardens.RDS,0,0
aus-wa-fleming_reserve.RDS,0,0
aus-wa-frank_drago_reserve.RDS,0,0
aus-wa-fraser_park.RDS,1,10
aus-wa-fremantle_golf_courses.RDS,5,190
aus-wa-fremantle_war_memorial.RDS,2,20
aus-wa-glengarry_park.RDS,0,0
aus-wa-green_area_high_road.RDS,0,0
aus-wa-green_beellar_drive.RDS,0,0
aus-wa-green_randazzo_way.RDS,0,0
aus-wa-green_welshpool_road.RDS,0,0
